@relation 80coffee

@attribute AROMA numeric
@attribute FLAVOR numeric
@attribute AFTERTASTE numeric
@attribute ACIDITY numeric
@attribute BODY numeric
@attribute BALANCE numeric
@attribute SWEETNESS numeric
@attribute Origin_Variety {'Guatemala Bourbon','Mexico Typica','Mexico Bourbon','Colombia Caturra','Mexico Caturra','Guatemala Caturra'}

@data
7.75,7.5,7.42,7.58,7.67,7.5,10,'Guatemala Bourbon'
7.83,7.42,7.33,7.67,7.42,7.5,10,'Guatemala Bourbon'
7.33,7.25,7.17,7.42,7.58,7.33,10,'Mexico Typica'
7.25,6.83,6.83,7,7.17,7,10,'Mexico Typica'
7.08,7.33,7.25,7.58,7.33,7.42,9.33,'Guatemala Bourbon'
7.5,7.67,7.5,7.5,7.58,7.58,10,'Mexico Bourbon'
7.58,7.67,7.58,7.75,7.58,7.75,10,'Colombia Caturra'
7.67,7.5,7.33,7.5,7.25,7.67,10,'Colombia Caturra'
7.75,7.58,7.08,7.25,7.08,7.25,10,'Mexico Caturra'
7.5,7.58,7.5,7.5,7.42,7.42,10,'Mexico Typica'
7.5,7.17,7.33,7.25,7.17,7.17,10,'Mexico Bourbon'
7.5,7.5,7.25,7.42,7.42,7.33,10,'Guatemala Bourbon'
7.5,7.58,7.58,7.58,7.42,7.42,10,'Mexico Typica'
7.58,7.75,7.5,7.83,7.42,7.67,10,'Guatemala Caturra'
7.67,7.67,7.58,7.75,7.58,8.5,10,'Colombia Caturra'
7.42,7.25,7.08,7.75,7.42,7.17,10,'Mexico Typica'
7.83,7.83,7.75,7.67,7.83,7.58,10,'Mexico Bourbon'
7.25,7.17,7,6.83,7.58,7.08,10,'Mexico Caturra'
7.25,7.42,7.33,7.33,7.17,7.33,10,'Mexico Typica'
7.75,7.83,7.75,7.83,7.75,7.83,10,'Colombia Caturra'
7.33,7.33,7,7.17,7.17,7.17,10,'Guatemala Bourbon'
7.75,7.58,7.67,7.83,7.83,7.67,10,'Colombia Caturra'
7.5,7.58,7.42,7.67,7.58,7.5,10,'Guatemala Caturra'
7.67,7.5,7.25,7.58,7.42,7.33,10,'Mexico Typica'
7.25,7.17,7.17,7.08,7.17,7,10,'Mexico Bourbon'
7.42,7.58,7.33,7.58,7.5,7.5,10,'Mexico Typica'
7.42,7.42,7.5,7.5,7.42,7.5,10,'Guatemala Bourbon'
7.83,7.67,7.17,7.33,7.5,7.67,10,'Guatemala Bourbon'
7.33,7.33,6.83,7.5,7,7.17,10,'Guatemala Bourbon'
7,6.92,6.75,6.92,7.17,6.83,10,'Mexico Typica'
